100 5014
5 1 65
5 3 100
5 7 89
5 9 84
5 11 60
5 13 19
5 15 64
5 16 60
5 17 69
5 18 50
5 19 27
5 22 32
5 23 41
5 24 22
5 28 17
5 29 73
5 34 36
5 36 55
5 37 94
5 40 90
5 44 52
5 49 33
5 50 10
5 57 38
5 60 79
5 61 24
5 65 44
5 66 21
5 67 67
5 68 58
5 69 70
5 70 19
5 76 75
5 81 96
5 83 73
5 84 34
5 85 39
5 86 30
5 87 16
5 88 -1
5 97 40
5 98 83
6 4 90
6 7 34
6 9 26
6 12 16
6 13 56
6 14 62
6 18 23
6 20 98
6 21 27
6 23 81
6 24 27
6 26 50
6 29 62
6 31 83
6 32 77
6 34 59
6 37 43
6 38 22
6 40 59
6 41 29
6 43 17
6 45 11
6 46 93
6 49 68
6 51 31
6 55 52
6 56 85
6 59 55
6 60 51
6 62 10
6 63 14
6 67 62
6 68 69
6 69 31
6 71 85
6 72 88
6 74 76
6 75 31
6 76 59
6 77 34
6 78 67
6 80 37
6 82 16
6 84 17
6 87 73
6 88 72
6 92 61
6 93 32
6 94 23
6 96 21
6 100 88
7 1 19
7 2 35
7 3 82
7 9 96
7 13 83
7 14 84
7 15 -1
7 16 72
7 18 14
7 21 81
7 23 76
7 24 -1
7 25 10
7 27 84
7 28 23
7 30 75
7 33 52
7 36 45
7 38 72
7 39 64
7 40 37
7 41 54
7 43 69
7 45 15
7 47 16
7 48 72
7 49 54
7 51 86
7 52 24
7 53 67
7 56 82
7 57 53
7 58 76
7 59 94
7 61 11
7 63 84
7 64 84
7 65 22
7 66 21
7 67 86
7 68 83
7 69 70
7 70 51
7 73 32
7 75 62
7 78 94
7 79 37
7 82 100
7 85 69
7 88 48
7 89 62
7 90 100
7 91 61
7 93 28
7 94 68
7 95 23
7 97 86
7 98 71
8 2 63
8 3 61
8 4 12
8 6 63
8 7 98
8 9 68
8 12 34
8 16 37
8 17 34
8 18 86
8 19 37
8 21 20
8 24 68
8 25 58
8 26 44
8 27 94
8 28 72
8 30 97
8 31 49
8 33 58
8 35 24
8 37 60
8 44 23
8 45 98
8 48 64
8 49 68
8 52 35
8 53 85
8 55 74
8 57 43
8 59 31
8 60 11
8 61 10
8 62 21
8 69 75
8 73 18
8 74 40
8 76 84
8 77 94
8 78 60
8 79 81
8 82 92
8 83 88
8 85 72
8 86 36
8 88 55
8 89 53
8 90 99
8 91 27
8 93 85
8 95 19
8 96 80
8 98 77
8 100 22
9 1 80
9 2 13
9 6 72
9 7 36
9 11 20
9 14 18
9 17 45
9 19 85
9 20 60
9 22 10
9 30 63
9 32 97
9 36 72
9 37 94
9 38 85
9 39 70
9 42 90
9 44 75
9 48 78
9 49 95
9 52 30
9 53 89
9 54 62
9 56 91
9 57 36
9 61 79
9 62 19
9 65 79
9 66 27
9 67 52
9 70 32
9 71 61
9 72 98
9 73 27
9 75 21
9 76 77
9 77 33
9 80 79
9 86 -1
9 87 14
9 88 71
9 89 40
9 92 56
9 93 51
9 94 10
9 98 97
9 99 39
10 1 61
10 2 55
10 4 31
10 5 44
10 6 14
10 7 51
10 9 96
10 11 27
10 12 31
10 13 58
10 14 21
10 15 48
10 17 22
10 19 66
10 21 11
10 22 34
10 23 87
10 24 45
10 27 76
10 29 71
10 30 76
10 31 75
10 32 78
10 33 98
10 36 21
10 37 53
10 39 65
10 41 59
10 42 11
10 45 22
10 46 52
10 48 14
10 50 76
10 51 56
10 52 78
10 53 46
10 54 15
10 57 89
10 58 13
10 59 19
10 60 29
10 61 41
10 62 76
10 63 64
10 64 63
10 65 77
10 66 59
10 67 73
10 69 68
10 70 78
10 72 89
10 73 66
10 74 75
10 77 42
10 81 91
10 84 68
10 85 47
10 88 56
10 89 21
10 90 67
10 94 63
10 95 94
10 96 95
10 98 48
10 99 96
11 1 65
11 2 63
11 3 52
11 4 83
11 6 95
11 7 91
11 8 25
11 9 13
11 12 77
11 13 30
11 17 73
11 18 15
11 19 39
11 20 98
11 25 74
11 27 80
11 29 89
11 30 44
11 34 42
11 35 36
11 36 42
11 38 40
11 42 34
11 43 -1
11 44 41
11 45 49
11 47 33
11 49 48
11 52 95
11 54 71
11 55 56
11 56 95
11 60 99
11 62 74
11 63 44
11 64 58
11 66 11
11 67 50
11 70 77
11 75 28
11 77 60
11 78 97
11 82 87
11 83 47
11 85 13
11 86 42
11 87 91
11 88 56
11 89 45
11 90 88
11 91 66
11 93 11
11 94 75
11 95 43
11 96 90
11 98 88
12 3 80
12 4 19
12 6 50
12 7 89
12 11 30
12 13 85
12 14 40
12 15 84
12 16 99
12 18 55
12 21 61
12 25 18
12 26 81
12 27 95
12 30 82
12 31 81
12 32 29
12 33 38
12 37 97
12 38 67
12 39 83
12 40 11
12 41 42
12 43 97
12 48 91
12 50 49
12 54 93
12 58 52
12 60 12
12 63 68
12 64 19
12 65 61
12 67 66
12 68 62
12 69 79
12 70 58
12 75 45
12 76 81
12 79 97
12 80 19
12 81 51
12 85 79
12 88 26
12 89 44
12 90 81
12 91 35
12 95 32
12 96 49
12 97 15
12 99 44
12 100 40
13 1 70
13 2 17
13 3 45
13 4 57
13 5 87
13 7 44
13 10 34
13 11 30
13 12 25
13 16 26
13 18 57
13 21 53
13 22 72
13 24 56
13 26 32
13 27 57
13 33 92
13 34 54
13 36 33
13 38 37
13 39 88
13 40 94
13 43 15
13 47 50
13 51 24
13 56 12
13 58 81
13 60 86
13 62 57
13 63 66
13 66 72
13 70 80
13 71 51
13 73 58
13 74 84
13 79 81
13 82 60
13 83 33
13 87 82
13 89 60
13 90 23
13 91 41
13 92 55
13 95 26
13 97 68
13 100 96
14 2 93
14 3 85
14 4 50
14 5 56
14 10 56
14 12 29
14 13 72
14 16 27
14 17 25
14 18 96
14 22 86
14 23 43
14 25 81
14 26 44
14 28 10
14 29 78
14 30 62
14 31 89
14 32 49
14 34 89
14 35 85
14 43 91
14 44 95
14 45 97
14 47 15
14 49 21
14 50 77
14 55 -1
14 57 33
14 60 81
14 61 39
14 62 97
14 63 50
14 64 83
14 65 59
14 67 97
14 69 47
14 72 20
14 73 77
14 74 42
14 75 45
14 78 -1
14 80 44
14 81 58
14 82 39
14 83 72
14 84 57
14 86 97
14 89 74
14 91 43
14 92 75
14 93 32
14 95 17
14 98 78
14 99 25
14 100 40
15 1 52
15 2 75
15 3 24
15 5 87
15 8 93
15 10 18
15 13 94
15 17 -1
15 18 11
15 19 30
15 20 71
15 21 17
15 23 20
15 27 67
15 32 39
15 34 97
15 35 51
15 36 93
15 37 33
15 39 18
15 40 33
15 45 31
15 49 80
15 53 75
15 54 11
15 57 79
15 58 10
15 59 53
15 61 23
15 63 24
15 65 21
15 66 100
15 67 28
15 68 46
15 69 98
15 74 15
15 76 20
15 78 16
15 80 99
15 81 26
15 83 76
15 85 85
15 88 45
15 89 22
15 92 56
15 94 21
15 95 75
15 99 45
15 100 66
16 1 87
16 5 96
16 6 56
16 11 52
16 12 29
16 14 75
16 17 93
16 18 67
16 19 57
16 21 21
16 23 30
16 26 17
16 28 29
16 34 21
16 37 46
16 39 33
16 42 68
16 47 23
16 51 41
16 55 70
16 56 31
16 58 71
16 59 16
16 60 26
16 63 65
16 64 92
16 66 87
16 67 63
16 72 33
16 73 22
16 74 96
16 76 70
16 77 100
16 78 82
16 83 75
16 84 79
16 85 80
16 88 82
16 90 54
16 92 25
16 95 20
16 97 84
16 99 12
16 100 53
17 3 12
17 4 14
17 7 18
17 12 53
17 19 72
17 20 17
17 21 98
17 22 84
17 23 31
17 24 41
17 26 77
17 27 47
17 28 32
17 29 83
17 31 95
17 32 20
17 33 15
17 34 28
17 35 15
17 36 17
17 37 51
17 38 66
17 39 61
17 40 34
17 41 83
17 42 58
17 45 98
17 46 96
17 48 38
17 49 22
17 50 56
17 51 89
17 53 99
17 54 35
17 57 39
17 60 10
17 61 51
17 62 83
17 65 73
17 66 87
17 69 96
17 72 80
17 74 37
17 77 12
17 78 81
17 81 99
17 82 68
17 83 52
17 85 -1
17 86 50
17 87 10
17 88 72
17 89 -1
17 91 38
17 93 37
17 96 92
17 97 40
17 98 33
17 99 79
17 100 99
18 1 98
18 2 67
18 4 50
18 7 51
18 9 60
18 10 25
18 11 72
18 12 72
18 13 87
18 15 81
18 16 83
18 19 23
18 20 72
18 21 97
18 23 45
18 24 95
18 25 86
18 26 30
18 27 47
18 32 75
18 33 22
18 34 14
18 38 25
18 42 42
18 49 80
18 53 -1
18 56 25
18 58 65
18 59 42
18 60 67
18 61 25
18 63 50
18 64 80
18 65 59
18 67 11
18 68 58
18 69 87
18 71 20
18 72 58
18 76 37
18 77 91
18 78 45
18 79 58
18 80 17
18 81 97
18 82 53
18 84 100
18 85 21
18 86 34
18 87 85
18 92 76
18 93 57
18 97 33
18 99 52
18 100 66
19 6 22
19 9 12
19 10 76
19 11 95
19 12 26
19 15 14
19 16 84
19 17 10
19 20 58
19 21 16
19 22 58
19 24 56
19 27 10
19 28 95
19 32 55
19 36 95
19 37 33
19 39 42
19 42 49
19 47 75
19 50 14
19 51 42
19 56 46
19 58 67
19 59 54
19 62 30
19 64 44
19 65 -1
19 66 37
19 67 29
19 68 76
19 70 61
19 72 87
19 74 81
19 77 60
19 78 27
19 81 100
19 84 59
19 86 39
19 88 40
19 90 56
19 92 83
19 94 83
19 95 16
19 96 61
19 97 61
19 99 74
19 100 25
20 1 91
20 2 42
20 3 82
20 4 28
20 6 71
20 10 42
20 11 39
20 14 71
20 15 37
20 17 32
20 19 16
20 21 13
20 22 99
20 23 75
20 29 12
20 30 20
20 36 18
20 37 77
20 40 37
20 41 45
20 44 87
20 47 68
20 48 16
20 56 81
20 57 15
20 59 58
20 60 56
20 62 35
20 63 52
20 64 97
20 66 18
20 67 -1
20 68 31
20 69 80
20 70 65
20 78 72
20 79 -1
20 81 11
20 84 37
20 88 11
20 95 31
20 96 64
20 97 89
21 1 88
21 4 21
21 6 14
21 7 46
21 10 71
21 13 50
21 14 40
21 16 43
21 20 18
21 22 84
21 24 91
21 26 14
21 28 47
21 29 92
21 33 92
21 34 94
21 36 45
21 38 27
21 42 22
21 43 69
21 44 40
21 45 91
21 46 72
21 47 32
21 48 33
21 50 11
21 51 36
21 52 41
21 53 78
21 54 95
21 55 31
21 57 63
21 58 41
21 61 34
21 63 64
21 64 41
21 65 100
21 66 85
21 67 52
21 70 14
21 71 67
21 72 54
21 74 90
21 76 11
21 79 18
21 82 73
21 83 48
21 85 51
21 86 67
21 88 19
21 91 40
21 97 28
21 98 65
21 99 99
22 11 -1
22 13 15
22 16 26
22 17 52
22 18 78
22 19 13
22 21 95
22 23 60
22 24 56
22 25 23
22 29 44
22 31 81
22 32 24
22 35 92
22 36 38
22 37 36
22 38 45
22 41 68
22 44 87
22 45 10
22 46 27
22 47 37
22 48 82
22 50 87
22 51 93
22 52 10
22 53 60
22 54 76
22 55 99
22 59 -1
22 60 96
22 61 37
22 65 70
22 67 21
22 68 93
22 71 87
22 72 80
22 73 47
22 76 49
22 78 19
22 80 66
22 81 49
22 82 89
22 83 97
22 86 43
22 89 81
22 92 60
22 94 82
22 95 66
22 96 19
22 97 67
23 1 90
23 3 29
23 4 49
23 6 19
23 7 51
23 9 99
23 12 37
23 14 58
23 17 82
23 18 60
23 19 35
23 20 19
23 21 52
23 24 98
23 30 22
23 32 57
23 37 18
23 41 62
23 43 17
23 45 81
23 47 46
23 49 86
23 51 89
23 52 65
23 53 93
23 55 23
23 58 32
23 59 76
23 60 23
23 61 19
23 62 59
23 63 72
23 64 62
23 69 32
23 74 80
23 79 61
23 80 13
23 81 21
23 83 82
23 85 12
23 89 21
23 90 98
23 91 71
23 92 73
23 94 63
23 97 15
23 99 24
23 100 60
24 1 36
24 3 77
24 4 81
24 9 78
24 10 49
24 14 85
24 17 66
24 18 69
24 19 85
24 20 63
24 22 55
24 23 29
24 26 81
24 27 62
24 28 25
24 30 22
24 39 40
24 42 78
24 43 44
24 45 54
24 47 34
24 50 26
24 53 87
24 54 72
24 56 100
24 66 43
24 67 44
24 72 60
24 73 81
24 77 84
24 80 20
24 81 70
24 85 55
24 86 66
24 87 42
24 89 91
24 92 87
24 94 51
24 95 56
24 100 58
25 1 24
25 2 35
25 5 62
25 11 76
25 16 76
25 18 85
25 19 97
25 21 45
25 23 28
25 24 51
25 26 57
25 27 22
25 28 55
25 29 81
25 30 31
25 33 78
25 35 38
25 39 51
25 41 -1
25 45 67
25 48 93
25 50 21
25 51 74
25 52 49
25 55 51
25 56 57
25 57 76
25 58 55
25 61 84
25 63 80
25 69 13
25 73 79
25 75 22
25 76 33
25 78 80
25 80 81
25 82 18
25 85 72
25 86 18
25 88 14
25 91 40
25 92 22
25 94 51
25 95 66
25 96 31
25 97 36
25 98 30
26 3 83
26 9 55
26 12 10
26 14 66
26 17 91
26 19 20
26 21 22
26 22 91
26 25 11
26 27 83
26 28 92
26 34 11
26 37 30
26 38 13
26 40 75
26 41 12
26 44 90
26 45 -1
26 46 84
26 47 98
26 50 16
26 51 20
26 52 75
26 53 57
26 55 52
26 58 86
26 67 29
26 73 97
26 74 46
26 75 42
26 79 20
26 81 87
26 82 12
26 85 47
26 86 26
26 87 89
26 88 13
26 90 26
26 91 65
26 92 48
26 93 51
26 94 88
26 98 80
26 100 29
27 3 13
27 8 76
27 10 72
27 13 72
27 14 42
27 15 84
27 17 88
27 19 21
27 20 56
27 21 41
27 26 29
27 28 21
27 29 89
27 30 67
27 32 73
27 34 90
27 37 54
27 40 97
27 42 38
27 45 63
27 48 95
27 52 45
27 55 65
27 56 38
27 61 72
27 63 86
27 67 79
27 68 39
27 70 75
27 71 62
27 72 94
27 74 53
27 76 35
27 78 99
27 81 29
27 83 68
27 84 77
27 86 82
27 93 33
27 94 37
27 96 88
27 97 21
27 98 11
28 3 91
28 4 96
28 5 34
28 6 26
28 10 97
28 11 90
28 13 49
28 17 64
28 19 76
28 20 89
28 22 93
28 23 25
28 24 87
28 26 83
28 27 48
28 34 85
28 37 66
28 40 51
28 41 99
28 42 78
28 43 88
28 44 67
28 47 89
28 50 29
28 53 15
28 54 14
28 57 44
28 59 34
28 62 61
28 64 26
28 65 79
28 66 19
28 67 98
28 69 37
28 70 76
28 73 20
28 74 66
28 76 55
28 78 51
28 80 71
28 84 67
28 85 39
28 86 29
28 89 34
28 90 95
28 92 49
28 94 12
28 96 38
28 100 74
29 1 80
29 5 42
29 7 82
29 10 33
29 11 98
29 12 63
29 16 49
29 19 92
29 21 44
29 22 91
29 23 28
29 27 19
29 30 63
29 31 60
29 36 35
29 38 56
29 39 27
29 41 17
29 43 39
29 45 89
29 46 84
29 47 28
29 48 86
29 50 63
29 51 16
29 58 46
29 61 93
29 62 57
29 65 99
29 66 15
29 67 29
29 71 97
29 72 97
29 76 15
29 78 73
29 79 49
29 80 82
29 81 74
29 82 54
29 86 47
29 87 95
29 88 14
29 89 56
29 90 79
29 91 13
29 94 87
29 95 64
29 98 50
29 99 55
30 1 95
30 3 57
30 8 64
30 9 32
30 11 39
30 13 49
30 14 77
30 16 51
30 18 38
30 19 40
30 20 43
30 24 84
30 29 96
30 31 41
30 32 15
30 35 47
30 38 85
30 40 22
30 44 93
30 45 63
30 46 18
30 49 78
30 51 75
30 53 63
30 55 66
30 56 15
30 57 32
30 58 12
30 59 53
30 60 30
30 63 59
30 65 51
30 66 96
30 67 97
30 71 32
30 72 26
30 74 89
30 75 57
30 76 31
30 78 43
30 79 65
30 84 20
30 89 96
30 90 36
30 91 21
30 92 12
30 93 13
30 95 82
30 96 88
30 98 43
30 99 14
31 1 32
31 3 94
31 6 89
31 7 16
31 8 82
31 9 60
31 10 78
31 12 53
31 13 36
31 15 34
31 18 74
31 19 70
31 21 51
31 22 45
31 23 40
31 26 18
31 27 -1
31 29 51
31 30 57
31 32 76
31 33 86
31 35 66
31 38 47
31 41 16
31 44 16
31 45 92
31 46 24
31 47 87
31 48 55
31 50 11
31 51 24
31 52 21
31 54 48
31 55 51
31 58 90
31 63 11
31 64 63
31 65 83
31 69 95
31 70 83
31 71 77
31 74 32
31 77 57
31 78 50
31 79 33
31 81 90
31 82 79
31 83 85
31 85 43
31 86 47
31 87 61
31 88 72
31 92 89
31 94 59
31 97 20
31 98 16
31 99 73
31 100 78
32 1 78
32 3 35
32 4 48
32 5 55
32 6 54
32 7 84
32 12 56
32 14 16
32 15 77
32 16 37
32 17 95
32 20 16
32 21 35
32 23 44
32 26 36
32 28 47
32 33 62
32 36 68
32 37 82
32 40 88
32 41 93
32 42 93
32 43 29
32 44 35
32 45 81
32 46 93
32 47 81
32 48 98
32 52 22
32 55 76
32 56 59
32 57 91
32 59 48
32 60 80
32 62 17
32 63 37
32 64 24
32 65 14
32 69 13
32 70 67
32 71 27
32 72 19
32 73 59
32 74 87
32 75 39
32 76 39
32 77 41
32 79 54
32 82 81
32 86 57
32 87 71
32 90 99
32 92 80
32 93 14
32 97 85
32 99 66
32 100 72
33 1 72
33 4 89
33 6 67
33 7 61
33 9 47
33 11 15
33 12 43
33 13 71
33 15 85
33 17 20
33 21 11
33 22 44
33 24 18
33 25 67
33 28 93
33 30 59
33 32 72
33 34 27
33 35 92
33 36 46
33 38 26
33 39 63
33 41 90
33 43 89
33 45 77
33 47 24
33 48 100
33 49 55
33 52 61
33 55 50
33 56 76
33 57 91
33 61 80
33 62 22
33 65 86
33 66 29
33 67 80
33 69 50
33 71 98
33 73 96
33 74 32
33 79 32
33 80 18
33 81 64
33 84 40
33 85 -1
33 94 52
33 97 62
33 98 10
33 99 90
33 100 27
34 1 93
34 2 38
34 3 57
34 4 77
34 5 25
34 6 35
34 8 27
34 10 86
34 11 17
34 13 55
34 14 26
34 18 73
34 20 79
34 21 31
34 22 91
34 23 82
34 28 91
34 30 38
34 32 33
34 33 45
34 35 74
34 37 82
34 38 55
34 39 92
34 40 26
34 44 94
34 45 46
34 47 81
34 49 65
34 51 30
34 53 70
34 54 21
34 56 73
34 57 93
34 58 39
34 62 37
34 64 25
34 65 79
34 68 44
34 70 53
34 72 19
34 73 84
34 74 48
34 75 20
34 78 95
34 84 75
34 85 100
34 86 36
34 88 30
34 89 26
34 90 14
34 91 79
34 93 15
34 95 67
34 96 97
34 98 92
34 99 55
34 100 36
35 1 18
35 2 64
35 4 65
35 5 12
35 7 71
35 10 66
35 12 17
35 14 99
35 16 31
35 17 54
35 18 21
35 19 26
35 22 74
35 23 67
35 24 68
35 30 93
35 31 76
35 32 73
35 33 26
35 34 31
35 37 63
35 39 20
35 40 78
35 42 19
35 43 81
35 44 48
35 46 77
35 48 75
35 51 53
35 53 70
35 54 68
35 57 61
35 59 21
35 60 11
35 62 67
35 64 43
35 66 52
35 67 45
35 71 43
35 72 57
35 74 53
35 75 88
35 76 100
35 77 27
35 80 -1
35 82 30
35 85 12
35 86 21
35 89 70
35 91 48
35 92 34
35 94 88
36 3 85
36 4 28
36 6 65
36 8 23
36 9 90
36 10 34
36 12 31
36 13 28
36 15 39
36 18 67
36 20 42
36 27 91
36 29 41
36 32 49
36 34 96
36 35 91
36 38 17
36 47 39
36 52 26
36 57 76
36 58 61
36 59 -1
36 61 95
36 64 92
36 65 86
36 67 57
36 70 73
36 71 34
36 74 20
36 80 38
36 83 89
36 84 64
36 85 97
36 88 16
36 90 55
36 92 45
36 93 100
36 95 65
36 97 73
36 98 80
37 1 13
37 2 37
37 4 90
37 6 82
37 7 21
37 11 36
37 12 27
37 13 84
37 14 84
37 15 78
37 16 83
37 17 38
37 18 70
37 20 14
37 24 62
37 26 68
37 29 50
37 31 41
37 38 96
37 40 96
37 41 83
37 43 38
37 46 14
37 47 36
37 50 39
37 53 79
37 54 85
37 55 17
37 56 38
37 58 66
37 59 29
37 62 51
37 64 42
37 67 79
37 70 33
37 71 96
37 77 69
37 78 56
37 79 67
37 82 68
37 83 89
37 86 89
37 88 75
37 90 60
37 92 14
37 96 99
37 98 55
38 1 95
38 2 75
38 4 88
38 5 97
38 6 84
38 8 16
38 11 28
38 14 98
38 17 36
38 22 80
38 23 37
38 25 72
38 26 88
38 28 84
38 30 76
38 31 16
38 34 51
38 35 19
38 41 67
38 42 14
38 43 60
38 45 73
38 48 29
38 49 26
38 50 40
38 52 93
38 53 52
38 54 97
38 58 84
38 60 58
38 63 72
38 65 40
38 66 54
38 67 80
38 70 99
38 71 39
38 72 45
38 75 88
38 76 54
38 78 39
38 80 70
38 81 61
38 83 11
38 85 96
38 97 73
38 98 35
39 2 68
39 5 96
39 7 30
39 8 82
39 10 27
39 15 13
39 17 48
39 20 36
39 21 74
39 24 54
39 26 90
39 30 97
39 32 32
39 33 22
39 34 13
39 35 54
39 36 16
39 37 100
39 41 32
39 42 52
39 46 64
39 48 70
39 50 55
39 54 45
39 55 13
39 57 15
39 62 31
39 63 15
39 69 90
39 70 70
39 71 -1
39 72 63
39 74 95
39 75 81
39 76 41
39 77 17
39 78 62
39 79 41
39 80 27
39 83 36
39 85 91
39 86 97
39 87 59
39 88 66
39 89 38
39 90 14
39 91 85
39 95 63
39 96 24
39 98 88
40 3 48
40 4 88
40 6 72
40 8 19
40 9 39
40 11 81
40 12 38
40 13 85
40 14 34
40 15 94
40 21 68
40 24 32
40 25 65
40 29 38
40 30 35
40 35 55
40 38 41
40 39 86
40 42 57
40 43 88
40 44 40
40 45 45
40 47 89
40 51 20
40 52 71
40 53 31
40 54 23
40 55 19
40 56 62
40 58 45
40 59 56
40 60 51
40 62 32
40 63 71
40 65 33
40 73 82
40 74 53
40 75 83
40 76 21
40 77 12
40 78 92
40 80 54
40 81 81
40 83 44
40 85 62
40 88 60
40 90 92
40 95 62
40 97 48
40 99 42
41 1 96
41 3 70
41 7 54
41 8 39
41 9 62
41 11 78
41 12 40
41 17 12
41 18 54
41 19 76
41 21 64
41 27 69
41 28 92
41 33 78
41 35 98
41 37 19
41 38 63
41 42 45
41 43 86
41 44 19
41 47 34
41 50 34
41 54 76
41 56 18
41 60 42
41 62 26
41 63 33
41 65 81
41 66 50
41 71 31
41 72 75
41 73 85
41 75 29
41 78 62
41 79 16
41 80 97
41 81 63
41 86 20
41 87 74
41 88 76
41 89 100
41 90 84
41 91 36
41 94 28
41 95 87
41 96 65
41 99 51
42 5 22
42 6 48
42 7 66
42 12 69
42 15 63
42 16 81
42 18 31
42 20 76
42 26 64
42 28 77
42 29 23
42 33 62
42 37 66
42 39 61
42 40 84
42 41 83
42 44 69
42 45 11
42 51 81
42 53 85
42 54 59
42 56 18
42 58 97
42 59 49
42 60 45
42 65 64
42 68 94
42 70 84
42 71 21
42 73 66
42 78 57
42 79 51
42 82 26
42 83 25
42 84 17
42 85 61
42 86 63
42 87 70
42 91 77
42 93 70
42 94 95
42 95 82
42 96 35
42 100 70
43 2 17
43 4 66
43 5 18
43 6 89
43 7 67
43 10 14
43 12 86
43 21 75
43 22 24
43 25 31
43 26 97
43 28 84
43 29 29
43 30 17
43 31 81
43 32 96
43 35 91
43 37 51
43 39 63
43 41 93
43 44 62
43 45 97
43 47 36
43 48 46
43 55 93
43 56 65
43 57 73
43 58 88
43 59 74
43 60 41
43 61 90
43 63 96
43 68 100
43 71 51
43 72 30
43 73 14
43 74 13
43 76 20
43 77 85
43 78 32
43 81 78
43 82 89
43 89 83
43 91 49
43 95 94
43 97 38
43 98 14
43 99 28
44 1 51
44 2 91
44 3 67
44 5 23
44 8 85
44 9 41
44 10 89
44 11 33
44 13 19
44 15 35
44 16 75
44 17 28
44 19 34
44 21 68
44 22 34
44 23 21
44 24 40
44 25 81
44 29 23
44 31 40
44 32 89
44 33 41
44 34 67
44 35 85
44 38 97
44 40 77
44 42 48
44 46 79
44 48 72
44 49 94
44 50 49
44 57 78
44 58 80
44 59 42
44 61 32
44 62 55
44 70 46
44 72 57
44 74 35
44 76 38
44 77 42
44 79 80
44 81 78
44 84 87
44 85 67
44 86 45
44 87 90
44 90 32
44 91 71
44 92 89
44 95 82
44 96 -1
44 97 70
44 99 53
45 1 72
45 2 82
45 5 17
45 9 25
45 11 30
45 13 50
45 14 89
45 15 71
45 16 80
45 17 33
45 21 12
45 23 39
45 24 62
45 25 93
45 29 39
45 36 86
45 37 82
45 41 46
45 43 80
45 44 12
45 47 69
45 48 40
45 49 73
45 51 54
45 53 37
45 54 15
45 55 70
45 56 20
45 57 33
45 59 98
45 60 75
45 61 16
45 62 87
45 63 69
45 71 67
45 73 70
45 75 98
45 76 78
45 78 38
45 79 90
45 82 86
45 84 47
45 86 39
45 88 85
45 92 88
45 94 74
45 97 35
45 98 37
46 1 39
46 3 87
46 7 36
46 8 27
46 12 97
46 13 28
46 14 -1
46 15 -1
46 19 96
46 20 74
46 21 47
46 22 85
46 23 56
46 25 47
46 27 14
46 29 44
46 32 46
46 34 57
46 35 67
46 36 33
46 39 48
46 40 78
46 42 92
46 45 18
46 47 97
46 48 49
46 49 59
46 50 33
46 52 78
46 53 52
46 54 92
46 55 95
46 56 92
46 58 40
46 59 81
46 60 82
46 62 60
46 63 55
46 64 72
46 66 26
46 67 53
46 68 50
46 70 70
46 71 51
46 72 71
46 73 18
46 79 58
46 81 33
46 82 49
46 83 81
46 84 86
46 85 91
46 87 24
46 88 80
46 93 67
46 95 56
46 96 89
46 97 35
46 98 69
46 99 43
46 100 92
47 9 36
47 11 84
47 15 49
47 19 58
